hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,     classical index,     entropic index
Poule -> Mygale, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 26.3157894736842088, 44.9339778454926915, 29.0739738665954377
Mygale -> Pigeon, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 31.5789473684210513, 55.5198270200005908, 35.6122143646601472
Pigeon -> Mygale, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 31.5789473684210513, 55.5198270200005908, 35.6122143646601472
Mygale -> Lion, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 31.5789473684210513, 55.5198270200005908, 35.6122143646601472
Lion -> Mygale, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 31.5789473684210513, 55.5198270200005908, 35.6122143646601472
Mygale -> Chien, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 31.5789473684210513, 55.5198270200005908, 35.6122143646601472
Chien -> Mygale, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 31.5789473684210513, 55.5198270200005908, 35.6122143646601472
Mygale -> Chamois, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 36.8421052631578902, 65.9663887053702211, 42.5719165444947549
Chamois -> Mygale, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 36.8421052631578902, 65.9663887053702211, 42.5719165444947549
Mygale -> Singe, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 15.7894736842105257, 28.3286862346001200, 16.9028772209175742
Singe -> Mygale, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 16.6666666666666643, 27.6555040409036224, 17.9757024061957011
Mygale -> Guepe, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 42.1052631578947327, 77.5320213536038949, 50.2310294164095907
Guepe -> Mygale, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 44.4444444444444429, 78.4180292602522684, 54.0461179820461055
