hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,     classical simi,       entropic simi
SD1 -> ProgLog2, 112.0000000000000000, 104.0000000000000000, 60.5405405405405470, 59.8214285714285690, 68.6982946367378280, 48.4105967770036330, 69.4579243659973140, 0.0000000000000000
ProgLog2 -> SD1, 104.0000000000000000, 112.0000000000000000, 56.2162162162162180, 64.4230769230769340, 70.3331883738853490, 59.0047286327968690, 69.4579243659973140, 0.0000000000000000
SD1 -> SE3, 112.0000000000000000, 100.0000000000000000, 60.5405405405405470, 54.4642857142857080, 52.5534600019454960, 39.4445836039268580, 52.3544132709503170, 0.0000000000000000
SE3 -> SD1, 100.0000000000000000, 112.0000000000000000, 54.0540540540540560, 61.0000000000000000, 48.6813527236460080, 52.2517039427095260, 52.3544132709503170, 0.0000000000000000
SD1 -> IHM1, 112.0000000000000000, 100.0000000000000000, 60.5405405405405470, 58.9285714285714310, 75.1509714943459390, 50.0262528663341400, 75.8554339408874510, 0.0000000000000000
IHM1 -> SD1, 100.0000000000000000, 112.0000000000000000, 54.0540540540540560, 66.0000000000000000, 78.2236004516200300, 67.8743994024539320, 75.8554339408874510, 0.0000000000000000
SD1 -> Reseaux1, 112.0000000000000000, 99.0000000000000000, 60.5405405405405470, 53.5714285714285690, 50.3586292266845700, 38.2645675447898060, 50.3342509269714360, 0.0000000000000000
Reseaux1 -> SD1, 99.0000000000000000, 112.0000000000000000, 53.5135135135135090, 60.6060606060606090, 46.1686054411154740, 52.0423012534889010, 50.3342509269714360, 0.0000000000000000
SD1 -> Compil3, 112.0000000000000000, 94.0000000000000000, 60.5405405405405470, 55.3571428571428610, 75.3649100661277770, 46.4884259369131460, 75.0156402587890630, 0.0000000000000000
Compil3 -> SD1, 94.0000000000000000, 112.0000000000000000, 50.8108108108108140, 65.9574468085106390, 77.1053008594616640, 71.0891659004062150, 75.0156402587890630, 0.0000000000000000
SD1 -> Projet3, 112.0000000000000000, 93.0000000000000000, 60.5405405405405470, 48.2142857142857150, 37.8833293914794920, 29.8577230329149330, 37.9466176033020020, 0.0000000000000000
Projet3 -> SD1, 93.0000000000000000, 112.0000000000000000, 50.2702702702702670, 58.0645161290322630, 31.4120928715612030, 50.5614926341442440, 37.9466176033020020, 0.0000000000000000
SD1 -> Reseaux3, 112.0000000000000000, 79.0000000000000000, 60.5405405405405470, 44.6428571428571460, 60.6902599334716800, 30.6779319640990910, 62.3318493366241460, 0.0000000000000000
Reseaux3 -> SD1, 79.0000000000000000, 112.0000000000000000, 42.7027027027027020, 63.2911392405063320, 60.7241428818214430, 73.2477043828329220, 62.3318493366241460, 0.0000000000000000
SD1 -> Crypto1, 112.0000000000000000, 79.0000000000000000, 60.5405405405405470, 44.6428571428571460, 60.6902599334716800, 30.6779319640990910, 62.3318493366241460, 0.0000000000000000
Crypto1 -> SD1, 79.0000000000000000, 112.0000000000000000, 42.7027027027027020, 63.2911392405063320, 60.7241428818214430, 73.2477043828329220, 62.3318493366241460, 0.0000000000000000
SD1 -> Securite2, 112.0000000000000000, 76.0000000000000000, 60.5405405405405470, 39.2857142857142850, 40.2247548103332520, 23.2906656220319980, 38.3445948362350460, 0.0000000000000000
Securite2 -> SD1, 76.0000000000000000, 112.0000000000000000, 41.0810810810810810, 57.8947368421052670, 31.4746593824467280, 65.7804139872459930, 38.3445948362350460, 0.0000000000000000
SD1 -> Securite3, 112.0000000000000000, 72.0000000000000000, 60.5405405405405470, 41.0714285714285690, 61.4655762910842900, 27.6791474279417820, 64.2500996589660640, 0.0000000000000000
Securite3 -> SD1, 72.0000000000000000, 112.0000000000000000, 38.9189189189189190, 63.8888888888888860, 62.9622311136648560, 76.4689615582872900, 64.2500996589660640, 0.0000000000000000
SD1 -> SE1, 112.0000000000000000, 69.0000000000000000, 60.5405405405405470, 39.2857142857142850, 60.4784071445465090, 26.0791497311606620, 63.4791195392608640, 0.0000000000000000
SE1 -> SD1, 69.0000000000000000, 112.0000000000000000, 37.2972972972972980, 63.7681159420289770, 61.8725162681601400, 77.2064655388995650, 63.4791195392608640, 0.0000000000000000
SD1 -> Projet1, 112.0000000000000000, 61.0000000000000000, 60.5405405405405470, 33.9285714285714310, 54.9154877662658690, 21.3781569855108170, 56.9899618625640870, 0.0000000000000000
Projet1 -> SD1, 61.0000000000000000, 112.0000000000000000, 32.9729729729729750, 62.2950819672131150, 53.2844290590831380, 77.6588910506333430, 56.9899618625640870, 0.0000000000000000
SD1 -> Compil2, 112.0000000000000000, 60.0000000000000000, 60.5405405405405470, 32.1428571428571460, 48.5129952430725100, 19.4752277139600590, 47.8542327880859380, 0.0000000000000000
Compil2 -> SD1, 60.0000000000000000, 112.0000000000000000, 32.4324324324324350, 60.0000000000000000, 41.9698714117373580, 75.2204860867729650, 47.8542327880859380, 0.0000000000000000
SD1 -> Crypto3, 112.0000000000000000, 54.0000000000000000, 60.5405405405405470, 32.1428571428571460, 64.4855290651321410, 21.1560522475463130, 71.8562066555023190, 0.0000000000000000
Crypto3 -> SD1, 54.0000000000000000, 112.0000000000000000, 29.1891891891891890, 66.6666666666666570, 72.0827193948103540, 83.3846411767839730, 71.8562066555023190, 0.0000000000000000
SD1 -> Crypto2, 112.0000000000000000, 52.0000000000000000, 60.5405405405405470, 23.2142857142857150, 27.0657479763031010, 12.2258755409621410, 16.4314165711402890, 0.0000000000000000
Crypto2 -> SD1, 52.0000000000000000, 112.0000000000000000, 28.1081081081081090, 50.0000000000000000, 9.7087419881764987, 60.8100142030649100, 16.4314165711402890, 0.0000000000000000
SD1 -> ThGraph2, 112.0000000000000000, 49.0000000000000000, 60.5405405405405470, 25.0000000000000000, 42.7211105823516850, 14.4568938065355400, 37.9926681518554690, 0.0000000000000000
ThGraph2 -> SD1, 49.0000000000000000, 112.0000000000000000, 26.4864864864864880, 57.1428571428571390, 30.1191174028646740, 74.5196322814761490, 37.9926681518554690, 0.0000000000000000
SD1 -> ProgLog1, 112.0000000000000000, 49.0000000000000000, 60.5405405405405470, 26.7857142857142850, 51.4731287956237790, 16.2530262425588390, 52.4532198905944820, 0.0000000000000000
ProgLog1 -> SD1, 49.0000000000000000, 112.0000000000000000, 26.4864864864864880, 61.2244897959183660, 46.9901375311412080, 79.1940149151048730, 52.4532198905944820, 0.0000000000000000
SD1 -> IHM3, 112.0000000000000000, 48.0000000000000000, 60.5405405405405470, 24.1071428571428580, 41.0547852516174320, 13.7984634485418400, 35.1215690374374390, 0.0000000000000000
IHM3 -> SD1, 48.0000000000000000, 112.0000000000000000, 25.9459459459459470, 56.2500000000000000, 26.9860821815029370, 73.5915569043469730, 35.1215690374374390, 0.0000000000000000
SD1 -> IHM2, 112.0000000000000000, 37.0000000000000000, 60.5405405405405470, 16.9642857142857150, 35.9726309776306150, 9.3720742076445873, 23.6261084675788880, 0.0000000000000000
IHM2 -> SD1, 37.0000000000000000, 112.0000000000000000, 20.0000000000000000, 51.3513513513513470, 15.3440785496081470, 68.1840896776008240, 23.6261084675788880, 0.0000000000000000
SD1 -> Securite1, 112.0000000000000000, 37.0000000000000000, 60.5405405405405470, 19.6428571428571420, 48.3146548271179200, 11.5848256354337360, 46.6323256492614750, 0.0000000000000000
